FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_LENGTH,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,SALARY_START,SALARY_END,ENTRY_SALARY_DWP,REQUIREMENTS,APPLICATION_DEADLINE,OPEN_DATE,SALARY_START_NUM,SALARY_END_NUM,OPEN_YEAR,OPEN_MONTH,EXP_NUM
SENIOR TRANSPORTATION INVESTIGATOR 4273 070717 (2).txt,SENIOR TRANSPORTATION INVESTIGATOR,4273,,,"A Senior Transportation Investigator assigns, reviews and evaluates the work of Transportation Investigators engaged in the enforcement of transportation regulations or transportation franchise provisions in the City of Los Angeles; monitors parking meter revenue collection personnel and related facilities and activities; may perform the more difficult inspections and investigations or the surveillance of suspects in the theft of revenue; makes arrests and appears in court on such matters; prepares reports and makes recommendations to the Board of Transportation Commissioners and Board of Taxicab Commissioners; and applies sound supervisory principles and techniques in building and maintaining an effective workforce.",,,,Two years,full-time,,,"at the level of Transportation Investigator performing duties in regulatory inspection, investigation of violations, and enforcement of legal requirements",,R,,INT_DEPT_PROM,"$66,294","$96,904",,"Two years of full-time paid experience at the level of Transportation Investigator performing duties in regulatory inspection, investigation of violations, and enforcement of legal requirements.","THURSDAYJULY 20, 2017",07-07-17,66294.0,96904.0,2017,7,2
ENVIRONMENTAL SUPERVISOR 7304 052518 (1).txt,ENVIRONMENTAL SUPERVISOR,7304,1,,"An Environmental Supervisor assigns, reviews and evaluates the work of professional personnel and/or consultants engaged in the analysis, review, investigation, study and implementation of environmental policies, regulations, legislation and programs; personally performs the more difficult, technical and/or sensitive assignments; prepares environmental documents; manages large environmental and natural resources projects and programs including regulatory compliance programs and grant funded projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",four-year,college,,Two years,full-time,,,"with the City of Los Angeles as an Environmental Specialist or in a class at that level which provides experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up, and control of environmental pollutants;",,P,,OPEN_INT_PROM,"$82,496","$120,582","$102,353 to $127,180","1. Two years of full-time paid experience with the City of Los Angeles as an Environmental Specialist or in a class at that level which provides experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up, and control of environmental pollutants; or
2. Graduation from an accredited four-year college or university AND three years of full-time paid professional experience in the analysis or implementation of environmental legislation, regulations, policies and programs, or in the prediction, assessment, measurement, clean-up and control of environmental pollutants.","THURSDAYJUNE 7, 2018",05-25-18,82496.0,120582.0,2018,5,2
SENIOR ACCOUNTANT 1523 030218.txt,SENIOR ACCOUNTANT,1523,,,"A Senior Accountant plans, assigns, reviews and evaluates the work of a group of accountants engaged in preparing, maintaining and analyzing City financial records and reports; reviews and recommends changes to accounting procedures and systems and their related electronic information systems; conducts internal and/or external auditing work; may personally perform the more difficult or complex accounting work; routinely exercises independent judgment involving interpretation of accounting principles and procedures; may be responsible for all accounting work in a small department or for a particular phase of accounting in a larger accounting organization; and applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,with the City of Los Angeles in a class at the level of Accountant,,P,,INT_DEPT_PROM,"$62,535","$91,391",,Two years of full-time paid professional accounting or financial auditing experience with the City of Los Angeles in a class at the level of Accountant.,"THURSDAYMARCH 15, 2018",03-02-18,62535.0,91391.0,2018,3,2
PRINCIPAL CONSTRUCTION INSPECTOR 7297 021618.txt,PRINCIPAL CONSTRUCTION INSPECTOR,7297,,,"A Principal Construction Inspector plans, organizes and directs the work of inspectors assigned to inspect the construction of a wide variety of public works, utilities, and improvement projects in an assigned district or a proprietary department to ensure compliance with plans, specifications, contract provisions, City policies, legal requirements and good construction practices; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,at the level of Senior Construction Inspector in either building or construction inspection or in the supervision of field inspection of public works type projects,,P,,INT_DEPT_PROM,"$88,322","$129,142",,Two years of full-time paid experience at the level of Senior Construction Inspector in either building or construction inspection or in the supervision of field inspection of public works type projects.,"THURSDAYMARCH 1, 2018",02-16-18,88322.0,129142.0,2018,2,2
SURVEY SUPERVISOR 7287 110918.txt,SURVEY SUPERVISOR,7287,,,"A Survey Supervisor plans, organizes and directs the work of several survey parties and office assistants engaged in preliminary, property, construction, topographic, geodetic, and hydrographic surveys; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Three years,full-time,,,at the level of Survey Party Chief supervising employees engaged in engineering survey work,,R,,INT_DEPT_PROM,"$91,496","$133,716","$119,413 to $148,352",Three years of full-time paid experience at the level of Survey Party Chief supervising employees engaged in engineering survey work.,"THURSDAYNOVEMBER 22, 2018",11-09-18,91496.0,133716.0,2018,11,3
SENIOR SAFETY ENGINEER ELEVATORS 4264  042718.txt,SENIOR SAFETY ENGINEER ELEVATORS,4264,,,"A Senior Safety Engineer Elevators assigns, reviews and evaluates the work of Safety Engineer Elevators engaged in the inspection of escalators, elevators, and similar devices for conformance to State laws and City ordinances regulating their design, installation and operation; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,as a Safety Engineer Elevators with the City of Los Angeles,,R,,INT_DEPT_PROM,"$83,415","$121,939",,Two years of full-time paid experience as a Safety Engineer Elevators with the City of Los Angeles.,"THURSDAYMAY 10, 2018",04-27-18,83415.0,121939.0,2018,4,2
ELECTRICAL REPAIR SUPERVISOR 3855 092217 (7).txt,ELECTRICAL REPAIR SUPERVISOR,3855,,,"An Electrical Repair Supervisor assigns, reviews and evaluates the work of a group of Electrical Repairers, helpers, and trainees engaged in a variety of skilled electrical rewinding, repairing, rebuilding, assembling, troubleshooting, maintenance and rigging work in a shop and in the field; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Four years,full-time,,,as a journey-level electrical repairer,,R,,INT_DEPT_PROM,"$115,570","$122,022",,Four years of full-time paid experience as a journey-level electrical repairer.,"THURSDAYOCTOBER 5, 2017",09-22-17,115570.0,122022.0,2017,9,4
WAREHOUSE AND TOOLROOM WORKER 1832 091418 REV 121218.txt,WAREHOUSE AND TOOLROOM WORKER,1832,1,,"A Warehouse and Toolroom Worker performs manual and clerical work in ordering, receiving, storing, issuing, and accounting for materials, supplies, automotive parts, tools, and equipment; may be required to lift boxes, load and unload trucks, package materials and make supply deliveries; may operate motor-driven and various material handling and lifting equipment, including forklifts, jacks, and hoists. May perform minor repair, maintenance, and assembly on tools, equipment and materials; and does related work.",,,,One year,full-time,,,"or 2,080 cumulative work hours in a warehouse or stockroom receiving, storing, and accounting for materials or supplies;",,P,A,OPEN,"$39,672","$57,983","$55,895 to $69,446","1. One year of full-time paid experience or 2,080 cumulative work hours in a warehouse or stockroom receiving, storing, and accounting for materials or supplies; or 
2. Six months of full-time paid experience as a Utility Pre-Craft Trainee with the Department of Water and Power assisting with receiving, storing, and accounting for materials or supplies in a warehouse or stockroom.","SATURDAYNOVEMBER 23, 2019",09-14-18,39672.0,57983.0,2018,9,1
WATER TREATMENT SUPERVISOR 5887 072018.txt,WATER TREATMENT SUPERVISOR,5887,,,"A Water Treatment Supervisor assigns, reviews, and evaluates the work of a group of employees engaged in the operation, regulation, maintenance, and repair of equipment and facilities used in the treatment, and disinfection of water; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities.",,,,Four years,full-time,,,as a journey level or lead Water Treatment Operator with the City of Los Angeles,,P,,INT_DEPT_PROM,"$109,411","$115,508",,Four years of full-time paid experience as a journey level or lead Water Treatment Operator with the City of Los Angeles.,"THURSDAYAUGUST 2, 2018",07-20-18,109411.0,115508.0,2018,7,4
SIGNAL SYSTEMS SUPERINTENDENT 3832 110416.txt,SIGNAL SYSTEMS SUPERINTENDENT,3832,,,"A Signal Systems Superintendent directs, through subordinate supervisors, the construction, maintenance, and repair of traffic signals on a City-wide basis. An employee of this class determines general procedures within the framework of applicable laws and Department of Transportation regulations and policies. The work involves difficult scheduling and coordination problems. The work of the division occurs throughout the City, is often interrelated with the needs of other units, and is sometimes of an emergency nature.",,,,Two years,full-time,,,"with the City of Los Angeles as Signal Systems Supervisor, or in a class at that level which provides experience in supervising the installation, maintenance, and repair of electric or electronic traffic signal equipment",,R,,INT_DEPT_PROM,"$92,707","$131,919",,"Two years of full-time paid experience with the City of Los Angeles as Signal Systems Supervisor, or in a class at that level which provides experience in supervising the installation, maintenance, and repair of electric or electronic traffic signal equipment.","THURSDAYNOVEMBER 17, 2016",11-04-16,92707.0,131919.0,2016,11,2
OCCUPATIONAL HEALTH NURSE  2314 020317 REV 022317 (1).txt,OCCUPATIONAL HEALTH NURSE,2314,,,"An Occupational Health Nurse performs professional nursing services including performing and assisting with post offer examinations, environmental health assessments, return-to-duty evaluations, cardiac stress testing, drug testing, tuberculosis screening, administering vaccinations, managing blood borne pathogen exposures, identifying and assessing safety risks, assisting in the development of policies and procedures, and conducting training and education.  An Occupational Health Nurse may also be responsible for managing workers' compensation cases.",,,,,,,,,,P,,OPEN,"$72,309","$88,635","$56,710 to $70,449",,"THURSDAYMARCH 2, 2017",02-03-17,72309.0,88635.0,2017,2,0
AQUATIC FACILITY MANAGER 2423 052915 REVISED 060915.txt,AQUATIC FACILITY MANAGER,2423,,,"An Aquatic Facility Manager directs or assists in the direction of the operation of a City pool, ocean beach, or lake facility; assigns, reviews, and evaluates the work of employees at these facilities; formulates, organizes, and conducts a comprehensive program of aquatic activities for adults and children at a City aquatic facility or may plan and organize specialized regional aquatic programs; coaches team and individual aquatic sports; conducts swimming, lifesaving, and instructor level classes; may act as a lifeguard; recruits, trains, certifies and supervises lifesaving personnel; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",four-year,college,,,,,,as a Seasonal Pool Manager or an Open Water Lifeguard II or in a class at that level supervising water life saving activities,,P,,OPEN,"$44,933","$65,688",,Graduation from an accredited four-year college or university and 1200 hours of paid experience as a Seasonal Pool Manager or an Open Water Lifeguard II or in a class at that level supervising water life saving activities.,"THURSDAYJUNE 18, 2015",05-29-15,44933.0,65688.0,2015,5,0
DIRECTOR OF SYSTEMS 9375 042117.txt,DIRECTOR OF SYSTEMS,9375,1,,"A Director of Systems reviews and coordinates the development and implementation of both existing and future information systems, and of data processing applications to operational systems; manages, plans, directs, and reviews the work of a group of professional and technical personnel assigned to perform information systems analysis, including defining information system processing requirements, preparing test data, conducting system acceptance tests, preparing operating procedures, and training in the use of automated information systems; develops and oversees the development of information technology budgets; is engaged in the development and coordination of Requests for Proposals for information technology; oversees development of information technology contracts;  applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,"in a position at the level of Senior Systems Analyst II supervising personnel engaged in systems analysis, design, development, and installation of multi-purpose computer-based information systems for a medium-to-large scale information processing installation;",,P,,INT_DEPT_PROM,"$120,644","$171,654",,"1. Two years of full-time paid experience in a position at the level of Senior Systems Analyst II supervising personnel engaged in systems analysis, design, development, and installation of multi-purpose computer-based information systems for a medium-to-large scale information processing installation; or 
2. Two years of full-time paid experience in a position at the level of Senior Systems Analyst II performing long-range systems planning, analysis of major systems, and presenting recommendations to top management relative to the feasibility and merit of proposed systems for an organization which has a variety of multi-purpose computer-based information systems operating on medium-to-large scale computer equipment.","THURSDAYMAY 4, 2017",04-21-17,120644.0,171654.0,2017,4,2
WATER BIOLOGIST 7856 120216.txt,WATER BIOLOGIST,7856,,,"A Water Biologist performs oceanographic, marine biological, estuarine, limnological, stormwater, freshwater, and wetland surveys; conducts analysis of marine, estuarine, and freshwater aquatic organisms; performs toxicological tests using marine and freshwater organisms; performs biological activated sludge analysis on wastewater; assesses the impact of wastewater and stormwater discharges; identifies marine and freshwater invertebrates, fish, algae and vegetation; collects physical, chemical and biological data in water reservoirs and tanks for maintaining water quality; researches and develops new water quality equipment and processes; conducts studies; analyzes and writes reports on biological and associated data; reviews and comments on pertinent documents; confers with governmental agencies on water quality matters; represent the City at meetings and conferences; and may act as lead worker or supervisor for employees engaged in performing such tasks.",four-year,college,,,,,,,24 semester or 36 quarter units,P,,OPEN_INT_PROM,"$61,491","$87,508","$73,142 to $90,869","Graduation from an accredited four-year college or university with completion of 24 semester or 36 quarter units in one or more of the following disciplines: biology, marine biology, botany, oceanography or zoology.  

Courses within these disciplines, such as: algology (phycology), bacteriology, chemistry, ecology, environmental sciences, invertebrate zoology, limnology, microbiology, geology, mathematics, and statistics are desirable.","THURSDAYDECEMBER 15, 2016",12-02-16,61491.0,87508.0,2016,12,0
HOUSING INSPECTOR 4243 070618 REV 010819.txt,HOUSING INSPECTOR,4243,1,a,"A Housing Inspector inspects residential rental property locations for conformance to the building standards and codes contained in the State Housing Law and Regulations and City of Los Angeles Building Regulations, such as the Los Angeles Municipal Code, relating to the habitability, maintenance, sanitation, ventilation, use, and occupancy of said properties; and investigates code violation complaints and follows through with the code enforcement process by way of prosecution or administrative abatement.",,apprentice,,One year,full-time,,,as an Assistant Inspector III with the City of Los Angeles;,12 semester or 18 quarter units,R,,OPEN_INT_PROM,"$83,144","$100,516",,"1. One year of full-time paid experience as an Assistant Inspector III with the City of Los Angeles; or
2. Two years of full-time paid experience in carpentry, masonry, electrical, plumbing or heating following satisfactory completion of a recognized apprenticeship program; or
3. Eight years of full-time paid carpentry, masonry, heating, electrical or plumbing craft experience; or
4. Four years of full-time paid experience as a building construction superintendent, general contractor, or supervisor of journey-level craft employees engaged in construction work; or
5. Two years of full-time paid experience as a housing, building, electrical, plumbing, mechanical or combined inspector for a governmental agency; or
6. Two years of full-time paid experience working in the construction trades as a helper to a journey-level craft person; and
a. Completion of a certificate in Construction Inspection or Construction Technology; or
b. Possession of at least an Associate of Arts Degree from an accredited college or university with at least 12 semester or 18 quarter units in any of the following areas: engineering, construction, design, building inspection technology, construction inspection, architectural drafting, civil, mechanical, or electrical engineering technology.","SATURDAYMARCH 2, 2019",07-06-18,83144.0,100516.0,2018,7,1
SENIOR DATA PROCESSING TECHNICIAN 1139 081117.txt,SENIOR DATA PROCESSING TECHNICIAN,1139,,,"A Senior Data Processing Technician assigns, reviews and evaluates the work of Data Processing Technicians engaged in the processing of data within a centralized computer agency or works independently performing highly responsible and sensitive data processing functions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,Data Processing,,"with the City of Los Angeles as a Data Processing Technician, Data Entry Supervisor, Computer Operator, or Documentation Technician",,,,INT_DEPT_PROM,"$52,304","$76,463","$74,437 to $95,651","Two years of full-time paid experience with the City of Los Angeles as a Data Processing Technician, Data Entry Supervisor, Computer Operator, or Documentation Technician.","THURSDAYAUGUST 24, 2017",08-11-17,52304.0,76463.0,2017,8,2
TREE SURGEON SUPERVISOR 3117 030317.txt,TREE SURGEON SUPERVISOR,3117,1,,"A Tree Surgeon Supervisor assigns, reviews and evaluates the work of a number of small crews or supervises a crew engaged in tree trimming activities for a department or in an area of the City; or assists a Street Tree Superintendent by directing and coordinating street tree trimming activities in a major section of the City; or inspects trees to ensure street trees are trimmed in compliance with Los Angeles Municipal Code requirements; or inspects overhead electrical facilities and lines to determine tree interference and prepares the related reports; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",,,,Three years,full-time,Tree Surgeon,,with the City of Los Angeles as a Tree Surgeon;,,P,B,OPEN_INT_PROM,"$59,215","$84,250",,"1. Three years of full-time paid experience with the City of Los Angeles as a Tree Surgeon; or
2. Four years of full-time paid experience in a position at the level of a Tree Surgeon performing duties which includes climbing trees, using climbers, ropes and safety belts and using power saws, aerial lifts, power winches, booms or similar equipment.","THURSDAYMARCH 16, 2017",03-03-17,59215.0,84250.0,2017,3,3
TRUCK OPERATOR 3583 012618.txt,TRUCK OPERATOR,3583,1,,"A Truck Operator drives a truck with a Gross Vehicle Weight Rating of up to 51,999 lbs. and may be required to operate mechanical attachments on the truck; may be required to pull a trailer under 10,000 lbs. Gross Vehicle Weight with a combined length of less than 40 feet; and may work as a manual laborer or direct a manual labor crew during periods of the day when not driving.",,,,One year,full-time,,,"driving a truck or bus carrying a payload of at least 3,000 lbs",,,A,OPEN_INT_PROM,"$52,262","$64,915","$53,264 to $66,168","1. A valid unrestricted California commercial Class A or Class B driver's license and valid medical certificate approved by the State of California Department of Motor Vehicles; and 
2. One year of full-time paid experience driving a truck or bus carrying a payload of at least 3,000 lbs.","THURSDAYFEBRUARY 8, 2018",01-26-18,52262.0,64915.0,2018,1,1
REPROGRAPHICS SUPERVISOR  3163 091517.txt,REPROGRAPHICS SUPERVISOR,3163,,,"A Reprographics Supervisor assigns, reviews, and evaluates the work of Reprographics Operators engaged in micrographic or engineering reprographic work; coordinates the work of a micrographic or engineering reprographics facility; or directs the activities of a large, multifunction micrographic-reprographic facility; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Three years,full-time,,,"as a Reprographics Operator or in a class at that level in a micrographics or reprographics facility operating scanners, microfilm cameras, high-speed duplicators and electrostatic copiers",,,,OPEN_INT_PROM,"$47,752","$69,822",,"Three years of full-time paid experience as a Reprographics Operator or in a class at that level in a micrographics or reprographics facility operating scanners, microfilm cameras, high-speed duplicators and electrostatic copiers.","THURSDAYSEPTEMBER 28, 2017",09-15-17,47752.0,69822.0,2017,9,3
PRINCIPAL TAX COMPLIANCE OFFICER 1195 030218.txt,PRINCIPAL TAX COMPLIANCE OFFICER,1195,,,"A Principal Tax Compliance Officer plans, organizes and directs the work of professional and clerical employees assigned to various divisions within the Office of Finance involved in the administration and enforcement of tax and permit ordinances or collection of outstanding debts owed to the City; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,in a position at the level of Tax Compliance Officer III supervising the administration and enforcement of tax and permit ordinances and/or the collection of various outstanding debts,,R,,INT_DEPT_PROM,"$85,482","$124,966",,Two years of full-time paid experience in a position at the level of Tax Compliance Officer III supervising the administration and enforcement of tax and permit ordinances and/or the collection of various outstanding debts.,"THURSDAYMARCH 15, 2018",03-02-18,85482.0,124966.0,2018,3,2
STEAM PLANT MAINTENANCE SUPERVISOR 3786 033117.txt,STEAM PLANT MAINTENANCE SUPERVISOR,3786,,,"A Steam Plant Maintenance Supervisor assigns, reviews, and evaluates the work of a crew of journey-level employees and helpers engaged in the maintenance and repair of the electrical and mechanical equipment and the buildings of a steam-electric generating station and related facilities; or supervises several supervisors and their crews doing this type of work in a maintenance section; applies sound supervisory principles and techniques, including equal employment opportunity responsibilities, in building and maintaining an effective workforce.",,,,Four years,full-time,Steam Plant,,with the City of Los Angeles as a Steam Plant Maintenance Mechanic or in a class at that level performing maintenance and repair of electric or mechanical equipment in a steam-electric generating station,,R,,INT_DEPT_PROM,"$115,570","$122,022",,Four years of full-time paid experience with the City of Los Angeles as a Steam Plant Maintenance Mechanic or in a class at that level performing maintenance and repair of electric or mechanical equipment in a steam-electric generating station.,"THURSDAYAPRIL 13, 2017",03-31-17,115570.0,122022.0,2017,3,4
STEAM PLANT MAINTENANCE MECHANIC 5630 0902116.txt,STEAM PLANT MAINTENANCE MECHANIC,5630,,,"A Steam Plant Maintenance Mechanic repairs, overhauls, and maintains high pressure, high temperature boilers, heat recovery steam generators (HRSG), steam turbines, gas turbines, and auxiliary equipment found in a large steam electric generating station.",,,,Three years,full-time,,,"as a Steam Plant Assistant with the City of Los Angeles, one year of which must be as an Assistant Maintenance Mechanic or Controls Mechanic working on the maintenance, repair and overhaul of equipment at a large steam electric generating station",,R,,INT_DEPT_PROM,"$97,092",flat-rated,"$97,092","Three years of full-time paid experience as a Steam Plant Assistant with the City of Los Angeles, one year of which must be as an Assistant Maintenance Mechanic or Controls Mechanic working on the maintenance, repair and overhaul of equipment at a large steam electric generating station.","THURSDAYSEPTEMBER 15, 2016",09-02-16,97092.0,97092.0,2016,9,3
DUPLICATING MACHINE OPERATOR 1493 121418.txt,DUPLICATING MACHINE OPERATOR,1493,1,,"A Duplicating Machine Operator operates offset process duplicating machines or direct process duplicating machines (digital high speed photocopiers with electronic front-ends), plate making, and post-press operations, such as binding, scoring, folding, collating, stitching, trimming and cutting.",,,,six months,full-time,,,in operating these machines;,,,,OPEN,"$37,416","$54,705","$52,847 to $65,646","1. Completion of one course in operating an offset process duplicating machine or direct process duplicating machine (digital high speed photocopier with an electronic front-end) and six months of full-time paid experience in operating these machines; or
2. One year of full-time paid experience in operating an offset process duplicating machine or direct process duplicating machine (digital high speed photocopier with an electronic front-end).","THURSDAYDECEMBER 27, 2018",12-14-18,37416.0,54705.0,2018,12,0.5
MECHANICAL REPAIR SUPERVISOR 3795 051818.txt,MECHANICAL REPAIR SUPERVISOR,3795,,,"A Mechanical Repair Supervisor assigns, reviews and evaluates the work of a group of employees doing a variety of tasks in maintaining and repairing mechanical equipment and tools; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and performs related work.",,,,Four years,full-time,,,in mechanical repair work in a class at the level of Mechanical Repairer,,P,,INT_DEPT_PROM,"$96,528",flat-rated,,Four years of full-time paid experience in mechanical repair work in a class at the level of Mechanical Repairer.,"THURSDAYMAY 31, 2018",05-18-18,96528.0,96528.0,2018,5,4
ENGINEER OF FIRE DEPARTMENT 2131 111116.txt,ENGINEER OF FIRE DEPARTMENT,2131,1,,,,college,,Four years,full-time,,,"with the City of Los Angeles Fire Department by July 21, 2017. Under the policy of rounding experience to the nearest full month, continuous service beginning on or before August 6, 2013, meets this requirement",15 semester or 24 quarter units,,A,T_PROM,"$91,955","$108,283",,"1. A valid California Commercial Class B driver's license with either the Haz-Mat & Tank Endorsements (X) or the Firefighter Endorsement (RSTR 50); and
2. Four years of full-time paid fire suppression certified experience with the City of Los Angeles Fire Department by July 21, 2017. Under the policy of rounding experience to the nearest full month, continuous service beginning on or before August 6, 2013, meets this requirement.

Completion of 15 semester or 24 quarter units in Fire Science/Fire Protection Administration at an accredited college or university may be substituted for a maximum of six months of the required experience.","THURSDAYNOVEMBER 24, 2016",11-11-16,91955.0,108283.0,2016,11,4
X-RAY AND LABORATORY TECHNICIAN 2358 012916.txt,X-Ray and Laboratory Technician,2358,,,"Takes and develops radiographic images according to established standards of the California Radiology Board. Maintains radiographic records, creates CD of radiographic images as needed and directs digital images to authorized personnel in compliance with HIPAA. Performs phlebotomy; biochemical tests using a desk-top analyzer; urinalysis by urine dipstick; vision testing; U.S. Department of Transportation (DOT) urine collection; and Breath Alcohol Testing (BAT) per established protocols. Operates and maintains the radiographic and laboratory equipment. Assists OHS staff in related office activities.",,,,,,,,,,P,,OPEN,"$52,200","$76,295","$56,605 to $70,323",,"THURSDAYFEBRUARY 11, 2016",01-29-16,52200.0,76295.0,2016,1,0
CIVIL ENGINEER 7237 020918.txt,CIVIL ENGINEER,7237,,,"A Civil Engineer performs professional civil engineering work in making engineering studies and assigning, reviewing and evaluating the work of professional and technical employees engaged in the preparation of designs, plans, specifications, estimates, environmental studies, construction financing studies, budgeting, assessment reports, scheduling and reports on major engineering projects or in directing field engineering activities in connection with the construction, contract administration, maintenance, inspection, and operation of a wide variety of engineering projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,Two years,full-time,,,in a position at the level of Civil Engineering Associate II,,P,,INT_DEPT_PROM,"$89,638","$131,064","$124,486 to $154,658",Two years of full-time paid professional engineering experience in a position at the level of Civil Engineering Associate II.,"THURSDAYFEBRUARY 22, 2018",02-09-18,89638.0,131064.0,2018,2,2
OFFICE ENGINEERING TECHNICIAN 7212 110218.txt,OFFICE ENGINEERING TECHNICIAN,7212,,,"An Office Engineering Technician performs office engineering work of sub-professional character in making computations, sketching, drafting, developing CAD drawings, reviewing construction plans prior to acceptance for completeness and/or compliance with Disabled Access, and assisting in researching, sometimes using various computer programs, to compile data required for the preparation of engineering and zoning reports, estimates, designs, contracts, specifications, plans and building permits; may review, organize, and interpret maps or mapping software or statistical data including logsheets, digital photographs and video records; may monitor data and prepare charts accordingly; may provide the public, business partners, contractors, or other governmental entities with information regarding real property descriptions and land title vesting, zoning or other information; may staff public counters; may use various computer programs to help track engineering projects, and may provide or assist in providing computer software and technical support.",,high school,,,,,,,,P,,OPEN,"$45,121","$65,959","$57,900 to $71,931","Completion of one course in trigonometry from a high school, university, college, trade or technical school.","THURSDAYNOVEMBER 15, 2018",11-02-18,45121.0,65959.0,2018,11,0
ELECTRICAL SERVICES MANAGER 092818 REV 100118.txt,ELECTRICAL SERVICES MANAGER,5265,1,,"An Electrical Services Manager plans, directs, organizes, and reviews through subordinate supervisors, the design, construction, operation, repair, and maintenance of major electrical facilities, underground and overhead electric transmission and distribution systems, hydroelectric power plants, DC converter stations, steam/thermal-electric generating plants, renewable energy power plants, including energy storage facilities and the load dispatching operations for the Department of Water and Power; plans, organizes, and directs through subordinate supervisors, the development, review, implementation and management of training and safety programs; directs activities for a group/section or a large division within the Department of Water and Power; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,Two years,full-time,,,"as a Transmission and Distribution District Supervisor, Senior Electrical Mechanic Supervisor, Chief Electric Plant Operator, or Senior Load Dispatcher;",,P,,INT_DEPT_PROM,"$164,764","$204,707",,"1. Two years of full-time paid experience as a Transmission and Distribution District Supervisor, Senior Electrical Mechanic Supervisor, Chief Electric Plant Operator, or Senior Load Dispatcher; or
2. Two years of full-time paid professional engineering experience in a class at the level of Electrical Engineer supervising field personnel in the construction, operation or maintenance of power utility or distribution systems; or
3. Three years of full-time paid experience as a Steam Plant Operating Supervisor, Steam Plant Maintenance Supervisor, or Instrument Mechanic Supervisor supervising operations and maintenance personnel at a steam plant.","THURSDAYOCTOBER 11, 2018",09-28-18,164764.0,204707.0,2018,9,2
MARINE ENVIRONMENTAL SUPERVISOR 9433 071114 (1).txt,MARINE ENVIRONMENTAL SUPERVISOR,9433,,,"A Marine Environmental Supervisor oversees the preparation of studies of the Los Angeles Harbor, hazardous materials site assessments, characterization and remedial action plans, air and water quality programs, environmental assessments, environmental impact reports, and statements relative to the effect of port development on the environment; supervises the preparation and administration of contracts for technical environmental services and research; supervises the analysis of proposed environmental legislation; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,R,,OPEN_INT_PROM,"$92,769","$115,278",,,"THURSDAYJULY 24, 2014",07-11-14,92769.0,115278.0,2014,7,0
